WGS84 UTM 32N
356603 5644965
-5.8880437687039375 78.24770602304488 210.06
-12.531906886957586 -19.492015747353435 210.003
30.187137885717675 -16.331259879283607 210.043
26.41905003541615 30.79520167503506 210.06
-13.726635081751738 -3.4541477020829916 209.978
12.481456903391518 -64.82326816860586 210.113
-17.536353830830194 44.693522764369845 209.957
-36.7838469966664 17.488262807950377 210.07
31.537546122504864 -30.982502575032413 210.047
28.829386365192477 -1.0987193817272782 209.925
48.082294566440396 29.348998676985502 209.99
-11.230106793926097 -36.460122919641435 209.984
-7.5999086642987095 -86.6551821064204 209.988
-10.043218545150012 -51.08831045217812 209.948
45.95043890981469 60.017380591481924 210.116
-39.209102011460345 49.886467998847365 210.013
-29.310621664277278 -79.28524367604405 210.141
3.693099257128779 48.816617908887565 209.946
-15.023939186590724 12.969834721647203 209.988
10.017772784107365 -32.600225964561105 209.975
-16.26479733386077 28.61025230307132 209.978
-35.57771517429501 2.00643624458462 209.98
6.357274337555282 15.020918471738696 210.063
41.44502637343248 75.97372241690755 210.092
-38.007926554768346 33.52077186666429 209.955
25.30056056601461 46.698038262315094 209.947
13.474075966107193 -77.51115331146866 210.1
-21.77123638667399 -89.8423105450347 210.118
-33.124630264472216 -30.305986762978137 209.991
7.609531501424499 -0.8454428939148784 210.06
-31.838243700563908 -46.41748901735991 209.987
11.21507959329756 -48.477427371777594 210.086
27.652843939955346 14.824266736395657 210.009
-34.318745518510696 -14.45976579748094 209.949
-8.72051243018359 -67.58408246282488 209.914
-18.80769885366317 60.925152900628746 210.028
8.840675380197354 -16.698855279013515 209.991
25.231932860566303 -62.375654485076666 209.861
2.6710762478760444 66.86189541593194 209.883
-30.58912235754542 -62.25286648236215 210.01
-40.525883690686896 68.42519481573254 209.993
18.900971547118388 -81.55277145653963 209.89
47.105859784642234 43.047160813584924 209.975
25.420671560335904 76.94558504130691 209.992
4.926901233498938 32.425307761877775 209.965
-19.261058370466344 74.11122158356011 210.047
24.080407163128257 62.45532422699034 210.118
30.178262566099875 -47.36079040821642 209.918
